RES_ID,Fecha_Viaje,Fecha_Reserva,Lead_Time_Dias,Noches_Estancia,Barco,Compañia,Tipo_Ruta,Suite_Type,Booking_Source,Package,Guest_Country,Cabinas_Totales_Barco,Cabinas_Reservadas,Porcentaje_Ocupacion_Ciclo,Pasajeros_Reserva,Tripulacion,Ingreso_Total_Reserva_USD,Gasto_Promedio_Diario_Huesped_USD,Puntuacion_Satisfaccion
RES-00026,2018-01-05,2017-09-12,115.0,7,Icon of the Seas,Royal Caribbean,Caribe,Suite,B2B,All Inclusive + EXC,FRANCE,2805,1,80.76,2,2350,3461.78,164.47,4.7
RES-00027,2018-01-05,2017-09-24,103.0,7,Icon of the Seas,Royal Caribbean,Caribe,Balcony,Web,Full Board + EXC,CANADA,2805,1,80.76,3,2350,5115.39,188.39,4.6
RES-00028,2018-01-05,2017-10-07,90.0,7,Icon of the Seas,Royal Caribbean,Caribe,Balcony,Web,All Inclusive,SPAIN,2805,1,80.76,1,2350,2538.76,197.08,4.5
RES-00029,2018-01-05,2017-10-29,68.0,7,Icon of the Seas,Royal Caribbean,Caribe,Interior,Direct,All Inclusive,USA,2805,1,80.76,2,2350,3825.08,190.42,4.8
RES-00030,2018-01-05,2017-07-21,168.0,7,Icon of the Seas,Royal Caribbean,Caribe,Interior,Direct,All Inclusive,USA,2805,1,80.76,2,2350,3381.7,158.75,4.8
RES-00031,2018-01-05,2017-09-25,102.0,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,B2B,All Inclusive,MEXICO,1643,1,81.33,2,1388,3851.46,131.17,4.5
RES-00032,2018-01-05,2017-09-29,98.0,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Interior,Direct,Full Board,UK,1643,1,81.33,2,1388,3709.26,123.27,4.4
RES-00033,2018-01-05,2017-09-27,100.0,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,Web,All Inclusive,USA,1643,1,81.33,2,1388,3889.26,133.27,4.4
RES-00034,2018-01-05,2017-08-19,139.0,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,B2B,All Inclusive + EXC,SPAIN,1643,1,81.33,2,1388,4064.58,143.01,4.3
RES-00035,2018-01-05,2017-10-06,91.0,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,Web,Full Board,USA,1643,1,81.33,1,1388,2729.88,137.72,4.5
RES-00036,2018-01-05,2017-09-18,109.0,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Balcony,B2B,Full Board,SPAIN,1643,1,81.33,2,1388,3925.26,135.27,4.4
RES-00037,2018-01-05,2017-11-02,64.0,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Interior,B2B,Full Board,USA,1643,1,81.33,2,1388,4005.9,139.75,4.7
RES-00038,2018-01-05,2017-09-23,104.0,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Balcony,Web,Full Board,USA,1643,1,81.33,1,1388,2689.74,133.26,4.5
RES-00039,2018-01-05,2017-10-20,77.0,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,Web,All Inclusive,CANADA,1643,1,81.33,2,1388,3842.64,130.68,4.5
RES-00040,2018-01-05,2017-10-21,76.0,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Suite,Direct,Full Board,USA,1643,1,81.33,2,1388,3930.48,135.56,4.5
RES-00041,2018-01-05,2017-11-17,49.0,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Suite,Direct,Full Board,SPAIN,1643,1,81.33,1,1388,2737.26,138.54,4.6
RES-00042,2018-01-05,2017-12-25,11.0,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Balcony,B2B,All Inclusive + EXC,USA,1643,2,81.33,4,1388,7584.84,127.89,4.5
RES-00043,2018-01-05,2017-10-04,93.0,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Interior,Web,Full Board,USA,1643,1,81.33,1,1388,2724.57,137.13,4.6
RES-00044,2018-01-05,2017-09-02,125.0,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Interior,B2B,Full Board + EXC,SPAIN,1643,2,81.33,2,1388,5295.78,128.61,4.5
RES-00045,2018-01-05,2017-10-13,84.0,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Balcony,Direct,All Inclusive + EXC,CANADA,1643,1,81.33,1,1388,2650.05,128.85,4.5
RES-00046,2018-01-05,2017-10-25,72.0,4,Disney Dream,Disney Cruise Line,Bahamas,Balcony,Web,All Inclusive,USA,1250,2,91.0,4,1458,4376.16,190.71,4.9
RES-00047,2018-01-05,2017-08-23,135.0,4,Disney Dream,Disney Cruise Line,Bahamas,Interior,Direct,Full Board + EXC,GERMANY,1250,1,91.0,2,1458,2261.76,199.92,5.0
RES-00048,2018-01-05,2017-10-16,81.0,4,Disney Dream,Disney Cruise Line,Bahamas,Suite,B2B,All Inclusive,MEXICO,1250,1,91.0,2,1458,2107.84,180.68,4.8
RES-00049,2018-01-05,2017-10-01,96.0,4,Disney Dream,Disney Cruise Line,Bahamas,Oceanview,B2B,All Inclusive + EXC,USA,1250,1,91.0,2,1458,2214.32,193.99,5.0
RES-00050,2018-01-05,2017-09-17,110.0,4,Disney Dream,Disney Cruise Line,Bahamas,Interior,Web,Full Board,CANADA,1250,1,91.0,2,1458,2260.16,199.72,4.8
RES-00051,2018-01-05,2017-10-17,80.0,4,Disney Dream,Disney Cruise Line,Bahamas,Suite,B2B,All Inclusive + EXC,SPAIN,1250,1,91.0,2,1458,2163.04,187.58,4.9
RES-00052,2018-01-05,2017-08-20,138.0,4,Disney Dream,Disney Cruise Line,Bahamas,Balcony,Web,Full Board + EXC,MEXICO,1250,2,91.0,4,1458,4274.56,184.36,5.0
RES-00053,2018-01-05,2017-09-18,109.0,4,Disney Dream,Disney Cruise Line,Bahamas,Oceanview,B2B,Full Board + EXC,GERMANY,1250,1,91.0,1,1458,1385.56,180.79,4.9
RES-00054,2018-01-05,2017-10-07,90.0,4,Disney Dream,Disney Cruise Line,Bahamas,Balcony,Direct,Full Board,GERMANY,1250,1,91.0,2,1458,2152.4,186.25,5.0
RES-00055,2018-01-05,2017-11-15,51.0,4,Disney Dream,Disney Cruise Line,Bahamas,Interior,B2B,Full Board,GERMANY,1250,1,91.0,2,1458,2040.64,172.28,5.0
RES-00056,2018-01-05,2017-10-30,67.0,4,Disney Dream,Disney Cruise Line,Bahamas,Oceanview,Web,All Inclusive,GERMANY,1250,1,91.0,2,1458,2042.72,172.54,4.9
RES-00057,2018-01-05,2017-11-27,39.0,4,Disney Dream,Disney Cruise Line,Bahamas,Oceanview,Web,All Inclusive + EXC,USA,1250,1,91.0,2,1458,2088.16,178.22,5.0
RES-00058,2018-01-05,2017-10-28,69.0,4,Disney Dream,Disney Cruise Line,Bahamas,Oceanview,Web,All Inclusive + EXC,UK,1250,1,91.0,1,1458,1396.8,183.6,4.6
RES-00059,2018-01-05,2017-11-01,65.0,4,Disney Dream,Disney Cruise Line,Bahamas,Interior,B2B,All Inclusive,SPAIN,1250,1,91.0,1,1458,1412.96,187.64,4.9
RES-00060,2018-01-05,2017-09-13,114.0,4,Disney Dream,Disney Cruise Line,Bahamas,Balcony,Direct,All Inclusive,FRANCE,1250,1,91.0,1,1458,1396.8,183.6,4.8
RES-00061,2018-01-05,2017-09-22,105.0,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Balcony,B2B,All Inclusive + EXC,UK,2612,1,83.26,2,1688,1642.72,122.54,4.2
RES-00062,2018-01-05,2017-10-19,78.0,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Oceanview,Direct,All Inclusive,USA,2612,1,83.26,1,1688,1160.96,124.64,4.1
RES-00063,2018-01-05,2017-10-13,84.0,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Interior,Web,All Inclusive + EXC,UK,2612,1,83.26,2,1688,1815.12,144.09,4.3
RES-00064,2018-01-05,2017-08-25,133.0,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Balcony,B2B,All Inclusive,USA,2612,1,83.26,1,1688,1141.56,119.79,4.3
RES-00065,2018-01-05,2017-11-02,64.0,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Interior,B2B,All Inclusive,USA,2612,1,83.26,1,1688,1113.12,112.68,4.3
RES-00066,2018-01-05,2017-10-04,93.0,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Suite,B2B,All Inclusive,MEXICO,2612,1,83.26,2,1688,1718.64,132.03,4.1
RES-00067,2018-01-05,2017-11-05,61.0,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Suite,Direct,All Inclusive + EXC,USA,2612,1,83.26,2,1688,1707.2,130.6,3.9
RES-00068,2018-01-05,2017-11-21,45.0,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Interior,B2B,Full Board,USA,2612,1,83.26,2,1688,1659.2,124.6,4.2
RES-00069,2018-01-05,2017-09-07,120.0,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Oceanview,B2B,All Inclusive,MEXICO,2612,1,83.26,1,1688,1206.08,135.92,4.3
RES-00070,2018-01-05,2017-10-07,90.0,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Balcony,Direct,All Inclusive + EXC,USA,2612,1,83.26,2,1688,1697.28,129.36,4.2
RES-00071,2018-01-05,2017-10-30,67.0,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Balcony,Web,All Inclusive,UK,2612,1,83.26,1,1688,1191.6,132.3,4.3
RES-00072,2018-01-05,2017-10-21,76.0,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Oceanview,B2B,Full Board + EXC,SPAIN,2612,1,83.26,2,1688,1596.4,116.75,4.2
RES-00073,2018-01-05,2017-09-13,114.0,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Balcony,Direct,All Inclusive,FRANCE,2612,2,83.26,2,1688,2309.6,123.1,4.2
RES-00074,2018-01-05,2017-09-25,102.0,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Suite,Direct,All Inclusive,USA,2612,1,83.26,2,1688,1702.16,129.97,4.2
RES-00075,2018-01-05,2017-10-10,87.0,4,Costa Smeralda,Costa Cruceros,Mediterráneo,Interior,B2B,All Inclusive,UK,2612,1,83.26,1,1688,1168.64,126.56,4.3
RES-00076,2018-01-05,2017-08-25,133.0,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,B2B,Full Board,UK,1646,1,91.07,2,1416,4292.28,155.66,4.5
RES-00077,2018-01-05,2017-09-20,107.0,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,Web,All Inclusive + EXC,SPAIN,1646,1,91.07,1,1416,2960.82,163.38,5.0
RES-00078,2018-01-05,2017-08-11,147.0,9,Celebrity Beyond,Celebrity Cruises,Alaska,Balcony,B2B,Full Board + EXC,CANADA,1646,2,91.07,4,1416,8579.52,155.52,4.8
RES-00079,2018-01-05,2017-11-16,50.0,9,Celebrity Beyond,Celebrity Cruises,Alaska,Balcony,Direct,All Inclusive + EXC,UK,1646,2,91.07,2,1416,6265.26,182.47,4.8
RES-00080,2018-01-05,2017-09-13,114.0,9,Celebrity Beyond,Celebrity Cruises,Alaska,Oceanview,B2B,All Inclusive,ITALY,1646,2,91.07,2,1416,5707.44,151.48,4.5
RES-00081,2018-01-05,2017-10-21,98.0,9,Celebrity Beyond,Celebrity Cruises,Alaska,Balcony,Direct,All Inclusive,SPAIN,1646,1,91.07,1,1416,3006.27,168.43,4.7
RES-00082,2018-01-05,2017-11-17,49.0,9,Celebrity Beyond,Celebrity Cruises,Alaska,Oceanview,Direct,Full Board,USA,1646,2,91.07,4,1416,8731.44,159.74,4.5
RES-00083,2018-01-05,2017-10-12,85.0,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,Web,All Inclusive + EXC,GERMANY,1646,1,91.07,1,1416,2939.31,160.99,4.7
RES-00084,2018-01-05,2017-08-25,133.0,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,B2B,All Inclusive + EXC,GERMANY,1646,1,91.07,1,1416,3038.49,172.01,4.4
RES-00085,2018-01-05,2017-12-01,35.0,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,B2B,Full Board + EXC,CANADA,1646,1,91.07,1,1416,2921.31,158.99,4.7
RES-00086,2018-01-05,2017-11-06,60.0,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,Web,Full Board,USA,1646,1,91.07,1,1416,2909.43,157.67,4.6
RES-00087,2018-01-05,2017-09-18,109.0,9,Celebrity Beyond,Celebrity Cruises,Alaska,Balcony,B2B,All Inclusive,USA,1646,1,91.07,2,1416,4644.9,175.25,4.6
RES-00088,2018-01-05,2017-12-10,26.0,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,B2B,Full Board + EXC,USA,1646,2,91.07,4,1416,8657.64,157.69,4.8
RES-00089,2018-01-05,2017-11-26,40.0,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,B2B,All Inclusive + EXC,USA,1646,1,91.07,2,1416,4149.36,147.72,4.6
RES-00090,2018-01-05,2017-09-08,119.0,9,Celebrity Beyond,Celebrity Cruises,Alaska,Suite,Web,All Inclusive,FRANCE,1646,1,91.07,1,1416,2921.22,158.98,4.7
RES-00091,2018-01-05,2017-10-12,85.0,12,Queen Mary 2,Cunard Line,Transatlántico,Balcony,B2B,All Inclusive,ITALY,1347,1,86.18,2,1253,6449.04,185.91,4.9
RES-00092,2018-01-05,2017-08-17,141.0,12,Queen Mary 2,Cunard Line,Transatlántico,Balcony,Web,Full Board,USA,1347,1,86.18,2,1253,6397.68,183.77,4.6
RES-00093,2018-01-05,2017-10-06,91.0,12,Queen Mary 2,Cunard Line,Transatlántico,Oceanview,B2B,All Inclusive,UK,1347,1,86.18,1,1253,4230.96,186.98,4.7
RES-00094,2018-01-05,2017-08-01,157.0,12,Queen Mary 2,Cunard Line,Transatlántico,Oceanview,Web,All Inclusive,UNKNOWN,1347,2,86.18,2,1253,8623.44,193.71,4.9
RES-00095,2018-01-05,2017-07-15,174.0,12,Queen Mary 2,Cunard Line,Transatlántico,Interior,B2B,All Inclusive + EXC,USA,1347,1,86.18,1,1253,4373.28,198.84,4.8
RES-00096,2018-01-05,2017-12-06,30.0,12,Queen Mary 2,Cunard Line,Transatlántico,Interior,Web,All Inclusive + EXC,UK,1347,1,86.18,1,1253,4492.8,208.8,4.9
RES-00097,2018-01-05,2017-10-15,82.0,12,Queen Mary 2,Cunard Line,Transatlántico,Interior,Direct,All Inclusive,USA,1347,1,86.18,2,1253,7103.28,213.17,4.8
RES-00098,2018-01-05,2017-10-28,69.0,12,Queen Mary 2,Cunard Line,Transatlántico,Balcony,Web,Full Board,UK,1347,1,86.18,2,1253,6949.2,206.75,4.8
RES-00099,2018-01-05,2017-11-19,47.0,12,Queen Mary 2,Cunard Line,Transatlántico,Interior,Direct,Full Board + EXC,USA,1347,2,86.18,4,1253,14238.24,213.83,4.8
RES-00100,2018-01-05,2017-12-01,35.0,12,Queen Mary 2,Cunard Line,Transatlántico,Balcony,B2B,Full Board,USA,1347,1,86.18,2,1253,6898.8,204.65,4.7
RES-00101,2018-01-05,2017-08-23,98.0,12,Queen Mary 2,Cunard Line,Transatlántico,Oceanview,Web,All Inclusive,USA,1347,1,86.18,2,1253,7055.52,211.18,4.8
RES-00102,2018-01-05,2017-09-18,109.0,12,Queen Mary 2,Cunard Line,Transatlántico,Balcony,B2B,All Inclusive,FRANCE,1347,1,86.18,2,1253,6719.28,197.17,5.0
RES-00103,2018-01-05,2017-10-28,69.0,12,Queen Mary 2,Cunard Line,Transatlántico,Oceanview,Direct,Full Board + EXC,MEXICO,1347,1,86.18,2,1253,6632.88,193.57,4.9
RES-00104,2018-01-05,2017-12-19,17.0,12,Queen Mary 2,Cunard Line,Transatlántico,Interior,B2B,All Inclusive,USA,1347,1,86.18,1,1253,4535.52,212.36,4.8
RES-00105,2018-01-05,2017-10-07,90.0,12,Queen Mary 2,Cunard Line,Transatlántico,Suite,Direct,Full Board,USA,1347,1,86.18,2,1253,6463.44,186.51,4.8
RES-00106,2018-01-05,2017-10-26,71.0,6,AIDAcosma,AIDA Cruises,Canarias,Interior,Web,All Inclusive,USA,2732,1,82.05,1,1500,1681.32,114.62,4.4
RES-00107,2018-01-05,2017-08-19,139.0,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,B2B,All Inclusive,GERMANY,2732,1,82.05,2,1500,2402.76,117.43,4.4
RES-00108,2018-01-05,2017-09-23,104.0,6,AIDAcosma,AIDA Cruises,Canarias,Interior,Web,Full Board + EXC,FRANCE,2732,1,82.05,2,1500,2416.08,118.54,4.2
RES-00109,2018-01-05,2017-10-31,66.0,6,AIDAcosma,AIDA Cruises,Canarias,Oceanview,B2B,Full Board,SPAIN,2732,2,82.05,4,1500,4357.92,98.78,4.2
RES-00110,2018-01-05,2017-12-09,27.0,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,Web,All Inclusive,UK,2732,2,82.05,4,1500,4942.32,123.13,4.4
RES-00111,2018-01-05,2017-09-05,122.0,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,Web,Full Board,ITALY,2732,1,82.05,2,1500,2382.24,115.72,4.4
RES-00112,2018-01-05,2017-10-25,72.0,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,Web,All Inclusive,ITALY,2732,1,82.05,1,1500,1724.4,121.8,4.2
RES-00113,2018-01-05,2017-10-06,91.0,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,Direct,All Inclusive,USA,2732,1,82.05,2,1500,2482.8,124.1,4.1
RES-00114,2018-01-05,2017-09-24,103.0,6,AIDAcosma,AIDA Cruises,Canarias,Oceanview,Web,All Inclusive,UK,2732,1,82.05,2,1500,2472.48,123.24,4.3
RES-00115,2018-01-05,2017-09-05,122.0,6,AIDAcosma,AIDA Cruises,Canarias,Interior,Web,Full Board,USA,2732,1,82.05,1,1500,1646.28,108.78,4.4
RES-00116,2018-01-05,2017-09-30,97.0,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,B2B,Full Board + EXC,MEXICO,2732,1,82.05,1,1500,1767.36,128.96,4.3
RES-00117,2018-01-05,2017-12-02,34.0,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,B2B,All Inclusive,MEXICO,2732,1,82.05,1,1500,1734.48,123.48,4.4
RES-00118,2018-01-05,2017-10-20,77.0,6,AIDAcosma,AIDA Cruises,Canarias,Interior,B2B,Full Board,UK,2732,2,82.05,2,1500,3554.88,130.64,4.6
RES-00119,2018-01-05,2017-10-21,76.0,6,AIDAcosma,AIDA Cruises,Canarias,Oceanview,B2B,Full Board + EXC,SPAIN,2732,1,82.05,2,1500,2434.08,120.04,4.3
RES-00120,2018-01-05,2017-10-03,94.0,6,AIDAcosma,AIDA Cruises,Canarias,Oceanview,Web,All Inclusive + EXC,MEXICO,2732,1,82.05,1,1500,1731.66,123.01,4.6
RES-00121,2018-01-06,2017-10-17,81.0,8,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,B2B,Full Board + EXC,GERMANY,2626,1,87.85,2,2138,3799.2,154.65,4.4
RES-00122,2018-01-06,2017-12-08,29.0,8,MSC World Europa,MSC Cruceros,Mediterráneo,Oceanview,B2B,All Inclusive + EXC,USA,2626,1,87.85,2,2138,3699.36,148.41,4.2
RES-00123,2018-01-06,2017-12-08,29.0,8,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,B2B,All Inclusive,SPAIN,2626,1,87.85,2,2138,3798.72,154.62,4.6
RES-00124,2018-01-06,2017-07-21,169.0,8,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,Direct,All Inclusive,USA,2626,1,87.85,1,2138,2525.76,150.12,4.5
RES-00125,2018-01-06,2017-11-18,49.0,8,MSC World Europa,MSC Cruceros,Mediterráneo,Oceanview,Direct,All Inclusive,SPAIN,2626,1,87.85,1,2138,2599.28,159.31,4.6
RES-00126,2018-01-06,2017-08-11,148.0,8,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,B2B,All Inclusive,GERMANY,2626,2,87.85,4,2138,7724.48,158.59,4.6
RES-00127,2018-01-06,2017-08-28,131.0,8,MSC World Europa,MSC Cruceros,Mediterráneo,Oceanview,Web,All Inclusive,FRANCE,2626,1,87.85,2,2138,3802.4,154.85,4.8
RES-00128,2018-01-06,2017-11-19,48.0,8,MSC World Europa,MSC Cruceros,Mediterráneo,Balcony,B2B,All Inclusive,USA,2626,1,87.85,1,2138,2537.76,168.85,4.8
RES-00129,2018-01-06,2017-10-12,86.0,8,MSC World Europa,MSC Cruceros,Mediterráneo,Balcony,Web,All Inclusive,MEXICO,2626,1,87.85,2,2138,3692.64,147.99,4.5
RES-00130,2018-01-06,2017-09-11,117.0,8,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,B2B,All Inclusive + EXC,FRANCE,2626,1,87.85,2,2138,3604.8,142.5,4.6
RES-00131,2018-01-06,2017-08-16,143.0,8,MSC World Europa,MSC Cruceros,Mediterráneo,Suite,B2B,Full Board + EXC,GERMANY,2626,1,87.85,1,2138,2440.08,139.41,4.4
RES-00132,2018-01-06,2017-08-26,133.0,8,MSC World Europa,MSC Cruceros,Mediterráneo,Balcony,Web,All Inclusive,GERMANY,2626,1,87.85,2,2138,3813.6,155.55,4.5
RES-00133,2018-01-06,2017-10-14,84.0,8,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,B2B,Full Board + EXC,USA,2626,1,87.85,2,2138,3734.56,150.61,4.6
RES-00134,2018-01-06,2017-09-30,98.0,8,MSC World Europa,MSC Cruceros,Mediterráneo,Oceanview,B2B,All Inclusive + EXC,USA,2626,1,87.85,1,2138,2460.56,141.97,4.7
RES-00135,2018-01-06,2017-10-11,87.0,8,MSC World Europa,MSC Cruceros,Mediterráneo,Balcony,B2B,Full Board + EXC,SPAIN,2626,1,87.85,1,2138,2523.44,149.83,4.7
RES-00136,2018-01-06,2017-09-14,114.0,5,Icon of the Seas,Royal Caribbean,Caribe,Balcony,B2B,All Inclusive,USA,2805,1,87.88,2,2350,2628.1,180.01,4.9
RES-00137,2018-01-06,2017-10-16,82.0,5,Icon of the Seas,Royal Caribbean,Caribe,Balcony,Web,All Inclusive,USA,2805,1,87.88,1,2350,1705.4,175.48,4.7
RES-00138,2018-01-06,2017-10-09,89.0,5,Icon of the Seas,Royal Caribbean,Caribe,Suite,B2B,All Inclusive + EXC,USA,2805,2,87.88,4,2350,5365.0,185.45,4.4
